Date,Naspers,Standard Bank,FirstRand,Sasol,MTN Group,Anglo American
2022-05-30,33360.8671875,17633.681640625,7115.50048828125,41697.84375,16616.701171875,74201.390625
2022-05-31,34284.15234375,17818.12109375,7222.2236328125,41459.14453125,16859.408203125,74793.2734375
2022-06-01,33602.234375,17247.84765625,7052.6640625,40532.3046875,16180.234375,73797.0
2022-06-02,33065.90234375,16841.078125,6886.0966796875,42310.08203125,16030.41796875,74668.6015625
2022-06-03,33192.0859375,16991.623046875,7211.2509765625,41652.90234375,16080.357421875,73341.5625
2022-06-06,34481.12109375,16574.8828125,7021.74365234375,42988.234375,15818.6767578125,75506.8359375
2022-06-07,33489.25,16196.02734375,6909.03759765625,42727.55859375,15290.322265625,75990.734375
2022-06-08,36474.0625,16075.3916015625,6804.310546875,42511.828125,14725.013671875,74885.5234375
2022-06-09,36715.83203125,15777.29296875,6674.64697265625,41933.5546875,14607.15625,73555.5390625
2022-06-10,35458.59375,15511.099609375,6545.9814453125,41115.578125,14636.1220703125,69591.109375
2022-06-13,34802.6796875,15505.1171875,6503.09326171875,40169.7578125,14307.5224609375,67442.515625
2022-06-14,34795.48046875,15880.9814453125,6469.181640625,40281.6171875,13987.9140625,65533.4140625
2022-06-15,36266.6875,16168.1123046875,6639.7373046875,40748.03515625,14264.5751953125,68204.1796875
2022-06-17,35982.3203125,15753.3671875,6406.34375,37323.31640625,13989.912109375,63501.62890625
2022-06-20,36610.84765625,16237.90234375,6623.77978515625,38828.4375,14184.6728515625,64581.328125
2022-06-21,36920.20703125,16285.7568359375,6636.74560546875,39712.328125,14239.6064453125,64437.04296875
2022-06-22,36547.25,16233.9140625,6619.7890625,36683.1171875,13885.0390625,61991.04296875
2022-06-23,36972.796875,16150.166015625,6712.54931640625,36566.26171875,13867.0615234375,59507.75390625
2022-06-24,38250.4296875,16461.232421875,6865.15185546875,36788.984375,14164.6982421875,58959.07421875
2022-06-27,46967.69921875,16261.828125,6703.57177734375,36920.8203125,14147.7177734375,60256.671875
2022-06-28,46057.015625,16290.7412109375,6583.8828125,36981.7421875,13948.9599609375,60693.45703125
2022-06-29,46857.109375,16093.337890625,6471.17578125,38086.359375,13488.5234375,60056.44140625
2022-06-30,47348.25,15470.22265625,6220.82666015625,37121.5703125,13187.890625,56977.3515625
2022-07-01,50343.45703125,15217.9853515625,6220.82666015625,34891.36328125,13658.31640625,54287.9296875
2022-07-04,50972.77734375,15583.876953125,6308.5986328125,37253.40625,13885.0390625,55616.93359375
2022-07-05,53292.87890625,14871.0341796875,6113.107421875,34640.67578125,13391.642578125,51116.578125
2022-07-06,52393.19140625,14852.0927734375,6146.02197265625,34010.46484375,13792.15234375,51778.140625
2022-07-07,57057.5859375,15297.744140625,6323.5595703125,37620.94921875,14062.8212890625,55810.29296875
2022-07-08,53123.09765625,15369.52734375,6376.42236328125,37480.12109375,14431.3720703125,56418.8515625
2022-07-11,51960.65234375,15125.2666015625,6258.72802734375,36734.05078125,14063.8203125,53799.12109375
2022-07-12,52595.76953125,15348.5908203125,6311.5908203125,36454.40625,14111.7626953125,53429.07421875
2022-07-13,50052.296875,14953.7841796875,6246.759765625,34715.58203125,13709.25390625,53376.0859375
2022-07-14,49993.51171875,14678.615234375,6092.1611328125,32314.58203125,13470.544921875,50929.1015625
2022-07-15,49075.42578125,14950.794921875,6223.81884765625,33317.328125,14169.69140625,50810.3359375
2022-07-18,51169.15234375,15213.9970703125,6324.55712890625,34483.8671875,14048.8388671875,53451.66015625
2022-07-19,52882.53125,15423.36328125,6363.4560546875,34653.65625,13880.0458984375,52784.2109375
2022-07-20,53193.09375,15318.6826171875,6374.42724609375,34787.48828125,13900.0205078125,53087.5078125
2022-07-21,53245.078125,15613.7880859375,6558.9482421875,34699.6015625,14150.7138671875,51981.31640625
2022-07-22,52193.21875,15502.1259765625,6433.27490234375,34621.6953125,14335.4892578125,53335.84375
2022-07-25,50614.42578125,15531.0380859375,6439.2587890625,34816.453125,14210.6416015625,54183.8828125
2022-07-26,51009.171875,15707.5048828125,6513.06689453125,34782.5,14475.318359375,55236.10546875
2022-07-27,49450.578125,15752.3681640625,6462.19921875,35142.04296875,14432.3701171875,55128.12890625
2022-07-28,49173.81640625,15916.873046875,6572.9111328125,34902.34375,14032.8583984375,56181.3203125
2022-07-29,47122.48046875,15950.7705078125,6538.00244140625,34921.3203125,13892.0302734375,58829.515625
2022-08-01,47443.4375,15863.0341796875,6534.01318359375,33992.484375,14208.6435546875,56730.98046875
2022-08-02,46523.7578125,15568.9248046875,6479.15576171875,33196.4765625,14116.755859375,55555.09765625
2022-08-03,48448.7109375,15898.927734375,6622.7822265625,33558.02734375,14189.6669921875,55852.5078125
2022-08-04,48533.09375,16239.896484375,6600.83837890625,33818.69921875,13982.9189453125,56610.25
2022-08-05,48993.03515625,16609.77734375,6703.57177734375,34224.1953125,14477.3154296875,58271.01953125
2022-08-08,49882.71484375,16727.421875,6709.556640625,34256.15625,14583.1865234375,58353.45703125
2022-08-10,48593.69140625,16671.59375,6727.50927734375,34782.5,14565.2080078125,57461.2421875
2022-08-11,50172.08203125,16917.84765625,6814.28369140625,35510.5859375,15874.609375,59267.28125
2022-08-12,48877.05078125,17036.486328125,6851.18798828125,35791.234375,15413.1728515625,56850.7265625
2022-08-15,49540.56640625,17156.125,6936.96484375,35656.40625,15029.6416015625,56182.30078125
2022-08-16,51604.8984375,17304.677734375,7021.74365234375,36164.765625,14809.91015625,58622.40625
2022-08-17,51769.87890625,17122.228515625,6986.83544921875,33957.53125,14673.0771484375,55918.30078125
2022-08-18,50423.8515625,17092.318359375,7019.75,34040.421875,14182.67578125,57345.05859375
2022-08-19,49461.578125,16404.3984375,6767.40576171875,33094.60546875,13830.1064453125,55911.4296875
2022-08-22,48924.84375,16037.5087890625,6784.361328125,33154.53125,13725.234375,55761.19140625
2022-08-23,49373.5859375,15946.7822265625,6781.36962890625,33783.74609375,13583.408203125,57836.01953125
2022-08-24,49162.6171875,15701.5224609375,6752.4443359375,34940.296875,13507.5,56708.76171875
2022-08-25,52246.015625,16041.4951171875,6808.29931640625,35519.57421875,13268.7919921875,56804.00390625
2022-08-26,51031.171875,16219.9560546875,6877.1201171875,34758.52734375,13228.83984375,57491.359375
2022-08-29,50393.45703125,15897.9287109375,6686.6162109375,36378.49609375,13062.0439453125,56350.35546875
2022-08-30,48253.9296875,15732.4306640625,6565.9296875,34931.30859375,12615.58984375,54183.21484375
2022-08-31,48509.09375,15276.8076171875,6400.3603515625,33141.546875,12409.8408203125,54158.66796875
2022-09-01,46835.91015625,15306.7158203125,6374.42724609375,32537.3046875,12602.60546875,52294.95703125
2022-09-02,48504.09375,15455.267578125,6480.15234375,33704.84375,12633.568359375,53843.46484375
2022-09-05,47940.76953125,15573.9091796875,6560.943359375,33769.76171875,12825.3330078125,54025.12890625
